#                      B                        I                        T                        M
1.078659439481326388e+01 3.405947054409541863e+01 1.274650136100692066e+02 4.099999999999999756e-01
8.405797823329297103e+01 4.243574561122442645e+01 1.302599341068712988e+02 9.649999999999999689e-01
4.527333353952214168e+01 3.999599466228421818e+01 3.983217318441260204e+02 1.900000000000000022e-01
5.582811179867916707e+01 7.750813928203818648e+01 1.957657700954689517e+01 1.000000000000000000e+00
7.622903474339892682e-01 3.679611288835076266e+01 9.243519136486492016e+01 5.849999999999999645e-01
5.481089503896624393e+01 3.609422528792514129e+01 2.824470378019082659e+02 3.449999999999999734e-01
9.952378522213591339e+01 5.144480250448714997e+01 4.408904254356095294e+02 2.449999999999999956e-01
2.796551036917870192e+01 4.354884675594855281e+01 4.787219358920763170e+02 2.999999999999999889e-02
6.061213709087477497e+01 8.917692472102316970e+01 2.049220695285986267e+02 9.599999999999999645e-01
7.624383992463677373e+00 4.643644478870952241e+01 1.390164781844235904e+02 5.350000000000000311e-01
6.123754286988941686e+01 6.997806481012881363e+01 4.409728762225957439e+02 2.250000000000000056e-01
5.865024674280948602e+01 2.103416147399200042e+01 5.815015458578358221e+01 1.000000000000000000e+00
4.745074669432284509e+00 7.094352246639853377e+01 2.564320528275625293e+02 1.000000000000000021e-02
3.588952089281580982e+01 9.446309623275578815e+01 4.963136581193228380e+02 1.150000000000000050e-01
8.762008085242590028e+01 4.882661977235906647e+01 7.770856028169077945e+01 1.000000000000000000e+00
3.772250014553075914e+01 8.922984710796102092e+01 2.694372091825075586e+02 7.750000000000000222e-01
4.038822845888834223e+01 1.742465420559179279e+01 1.605710011644857786e+02 4.550000000000000155e-01
2.086225139396826478e+01 8.471975393164952095e+01 4.946752490623329663e+02 3.099999999999999978e-01
4.457426508288414624e+01 7.327114221821763351e+01 3.801557373593867624e+02 3.599999999999999867e-01
3.007065889529556557e+00 1.441957788010959973e+01 4.846114311542619362e+02 1.000000000000000021e-02
