#                      B                        I                        T                        M
9.314268389419945038e+01 7.009744093231034867e+01 8.418852435729320405e-01 1.000000000000000000e+00
5.018589327255814680e+01 3.611503910205402690e+01 2.986191737003505864e+01 1.000000000000000000e+00
5.859385893469429618e+01 6.244407989223499555e+01 1.539187174821961435e+00 1.000000000000000000e+00
2.038518751136874130e+01 3.964222072011082076e+01 7.385920477028588493e+01 9.649999999999999689e-01
7.494282814156518668e+01 2.910712815786907015e+01 8.558881734353977322e+01 9.799999999999999822e-01
2.984399465246299599e+01 5.049450264827179780e+01 1.267602664906060284e+01 1.000000000000000000e+00
7.973628456023257627e+01 3.584838155918247082e+01 3.459025455943708494e+01 1.000000000000000000e+00
9.289619622063717941e+01 3.414596473030503887e+01 8.326838053083150726e+01 9.899999999999999911e-01
7.713292979392696225e+01 3.756193911943756802e+01 6.465906192884858683e+00 1.000000000000000000e+00
7.738580644626118499e+01 3.932330560071609682e+01 4.311175627832679425e+01 1.000000000000000000e+00
1.942418152968237166e+01 5.748516062652478098e+01 1.708072451233002198e+01 1.000000000000000000e+00
4.568288668047279089e+01 7.488289661265974928e+01 6.916197380277898787e+01 1.000000000000000000e+00
2.811236235418624574e+01 4.338173452542179120e+01 4.014697885934211286e+00 1.000000000000000000e+00
5.463837250347274477e+01 6.024522729003574284e+01 4.357531200457652432e+01 1.000000000000000000e+00
4.808933106351901188e+01 5.040542345906425936e+01 5.057988264524394850e+01 1.000000000000000000e+00
1.100311509695757195e-01 1.849720532175848575e+01 2.953509433602269496e+01 9.200000000000000400e-01
3.982374241887504240e+01 5.650939549652926530e+01 4.392955728891278255e+01 1.000000000000000000e+00
8.130557894734437241e+00 5.357050764009251509e+01 6.476897996851894845e+01 9.949999999999999956e-01
8.727219531999300273e+01 8.986683220059568100e+01 5.367518316979683846e+01 1.000000000000000000e+00
8.083192440836580772e+01 6.097453139419168622e+01 3.865563073953980222e+01 1.000000000000000000e+00
5.539360284382528476e+01 2.688595755252242725e+01 9.713070139724906937e+01 8.950000000000000178e-01
4.082632057596982378e+01 3.624011772587098790e+01 9.755817392091742590e+00 1.000000000000000000e+00
1.248262968550085361e+01 3.741482856608654117e+01 7.515986428139183317e+01 9.749999999999999778e-01
8.920267347462007024e+01 7.590857531938769398e+01 8.258017882244783436e+01 9.949999999999999956e-01
3.910568815332615600e+01 3.022934462321506999e+01 1.039527421870302248e+01 1.000000000000000000e+00
3.852570343266032182e+01 1.004479140054100128e+01 9.825324443829175891e+01 5.150000000000000133e-01
4.201968450823597578e+01 3.316531518843258652e+01 6.752067909548557623e+00 1.000000000000000000e+00
5.880102904102844974e+01 8.969970769389769316e+01 5.719742200130038867e+01 1.000000000000000000e+00
2.334834086677753362e+01 2.920067583646238063e+01 9.218920195115561000e+01 8.299999999999999600e-01
4.310027331736561251e+01 9.619616873455922246e+01 1.569789979236968236e+01 1.000000000000000000e+00
9.852577517694940923e+01 6.987967083907949473e+01 6.672393406081646106e+01 1.000000000000000000e+00
3.699674354607088844e+01 3.746934872342324496e+01 1.393505258877803499e+01 1.000000000000000000e+00
2.072140727741300736e+01 7.906136692366413854e+01 6.627266316972186644e+01 1.000000000000000000e+00
9.487888622409880668e+01 8.765381668907437529e+00 1.550648965463558682e+01 1.000000000000000000e+00
7.311640718642280490e+01 4.531546833505836958e+01 4.891583377979792147e+01 1.000000000000000000e+00
1.654231272638149619e+01 9.473433405969076659e+01 8.868366727750441214e+01 1.000000000000000000e+00
